dish,category,samples
aloo_gobi,curry,1057
aloo_matar,curry,399
aloo_methi,curry,175
aloo_paratha,curry,3155
aloo_shimla_mirch,curry,46
aloo_tikki,curry,49
amritsari_kulcha,bread,267
anda_curry,curry,3248
ariselu,sweet,96
balushahi,sweet,179
banana_chips,snacks,170
bandar_laddu,sweet,44
basundi,sweet,47
besan_laddu,sweet,483
bhindi_masala,curry,648
biryani,cereal,6688
boondi,sweet,43
boondi_laddu,sweet,226
butter_chicken,curry,48
chaas,beverage,999
chak_hao_kheer,sweet,37
cham_cham,sweet,44
chana_masala,curry,2923
chapati,bread,2288
chicken_pizza,pizza,3014
chicken_razala,curry,50
chicken_tikka,curry,26
chicken_tikka_masala,curry,50
chicken_wings,snacks,2545
chikki,snacks,249
chivda,cereal,277
chole_bhature,bread,1215
daal_baati_churma,curry,44
daal_puri,bread,44
dabeli,snacks,928
dal_khichdi,curry,1252
dal_makhani,curry,46
dal_tadka,curry,47
dharwad_pedha,sweet,33
dhokla,sweet,1211
double_ka_meetha,sweet,47
dum_aloo,curry,46
falooda,beverage,2483
fish_curry,curry,1602
gajar_ka_halwa,sweet,406
garlic_bread,bread,5668
gavvalu,sweet,40
ghevar,sweet,344
grilled_sandwich,snacks,5705
gujhia,sweet,315
gulab_jamun,sweet,3012
hara_bhara_kabab,kebab,1621
idiyappam,cereal,371
idli,cereal,5835
imarti,sweet,48
jalebi,sweet,1011
kachori,snacks,48
kadai_paneer,curry,47
kadhi_pakoda,snacks,47
kaju_katli,sweet,705
kakinada_khaja,sweet,50
kalakand,sweet,48
karela_bharta,curry,47
khakhra,snacks,256
kheer,sweet,670
kofta,curry,50
kulfi,sweet,3033
lassi,beverage,49
ledikeni,sweet,49
litti_chokha,snacks,48
lyangcha,sweet,39
makki_di_roti_sarson_da_saag,curry,50
malpua,sweet,33
margherita_pizza,pizza,2460
masala_dosa,cereal,5894
masala_papad,snacks,1069
medu_vada,snacks,541
misal_pav,snacks,543
misi_roti,bread,50
misti_doi,sweet,36
modak,sweet,274
moong_dal_halwa,sweet,204
murukku,snacks,228
mysore_pak,sweet,355
naan,bread,5780
navratan_korma,curry,417
neer_dosa,cereal,215
onion_pakoda,snacks,292
palak_paneer,curry,3434
paneer_masala,curry,7929
paneer_pizza,pizza,2491
paniyaram,snacks,784
pani_puri,snacks,317
papdi_chaat,snacks,999
patrode,curry,218
pav_bhaji,snacks,4424
pepperoni_pizza,pizza,321
phirni,sweet,403
pithe,sweet,50
poha,cereal,1533
pongal,cereal,522
poornalu,sweet,39
pootharekulu,sweet,47
puri_bhaji,bread,562
qubani_ka_meetha,sweet,44
rabri,sweet,44
rajma_chawal,curry,715
rasgulla,sweet,43
ras_malai,sweet,1200
rava_dosa,cereal,868
sabudana_khichdi,curry,391
sabudana_vada,snacks,457
samosa,snacks,4054
sandesh,sweet,45
seekh_kebab,kebab,4326
set_dosa,cereal,588
sev_puri,snacks,594
shankarpali,sweet,44
sheera,sweet,50
sheer_korma,curry,50
shrikhand,sweet,44
soan_papdi,sweet,47
solkadhi,beverage,243
steamed_momo,snacks,1790
sutar_feni,sweet,47
thali,curry,1632
thukpa,curry,607
unni_appam,sweet,44
uttapam,cereal,4007
vada_pav,snacks,2716
